"leaving","la","sd_orange","other_sc","central_valley","sf_bay","other_nc"
"Serious",23,23,25,27,20,26
"Some",26,27,31,29,30,22
"Within Cal",12,7,10,10,10,13
"None",38,43,34,34,40,39
