"IncidentNumber","Year","Ward","Borough","PumpCount","PumpHoursTotal","Type","PropertyCategory","RescueType","RescueCost"
"22115091",2009,"St. Mary's","Islington","1","1","Cat","Other Residential","Other animal assistance",255
"22276091",2009,"Chingford Green","Waltham Forest","1","1","Dog","Outdoor","Animal rescue from water",255
"26040091",2009,"Muswell Hill","Haringey","1","1","Dog","Outdoor","Other animal assistance",255
"26715091",2009,"St. Katharine's & Wapping","Tower Hamlets","1","1","Bird","Outdoor","Animal rescue from water",255
"27109091",2009,"Purley","Croydon","1","1","Bird","Non Residential","Animal rescue from height",255
"27805091",2009,"Erith","Bexley","2","5","Cat","Outdoor","Animal rescue from water",1275
"27898091",2009,"Osterley And Spring Grove","Hounslow","1","1","Bird","Outdoor","Animal rescue from height",255
"28382091",2009,"Stonebridge","Brent","1","1","Bird","Outdoor","Animal rescue from below ground",255
"29403091",2009,"Heath","Barking And Dagenham","1","1","Cat","Dwelling","Animal rescue from height",255
"30133091",2009,"Bishop's","Lambeth","1","1","Fox","Outdoor Structure","Animal rescue from height",255
"30194091",2009,"Underhill","Barnet","1","1","Cat","Outdoor","Animal rescue from below ground",255
"30836091",2009,"Cannon Hill","Merton","1","1","Bird","Outdoor","Animal rescue from water",255
"30981091",2009,"Downham","Lewisham","1","1","Unknown","Dwelling","Animal rescue from height",255
"169092",2009,"Forest Gate South","Newham","1","1","Cat","Dwelling","Animal rescue from below ground",255
"31317091",2009,"Hale End And Highams Park","Waltham Forest","1","1","Bird","Dwelling","Animal rescue from height",255
"32555091",2009,"Woolwich Common","Greenwich","1","2","Cat","Dwelling","Animal rescue from height",510
"33526091",2009,"Thames","Barking And Dagenham","1","1","Bird","Dwelling","Animal rescue from height",255
"34598091",2009,"Camden Town With Primrose Hill","Camden","1","1","Dog","Road Vehicle","Other animal assistance",255
"35246091",2009,"Beckton","Newham","1","1","Cat","Dwelling","Animal rescue from height",255
"35738091",2009,"East Ham North","Newham","1","1","Cat","Dwelling","Animal rescue from height",255
"35781091",2009,"Canning Town South","Newham","1","1","Bird","Non Residential","Animal rescue from height",255
"36590091",2009,"Wimbledon Park","Merton","1","1","Dog","Outdoor","Animal rescue from water",255
"36694091",2009,"Spitalfields & Banglatown","Tower Hamlets","1","1","Dog","Dwelling","Animal rescue from height",255
"36729091",2009,"Lee Green","Lewisham","1","1","Dog","Outdoor","Animal rescue from water",255
"37589091",2009,"Green Street East","Newham","1","2","Cat","Outdoor","Animal rescue from water",510
"37752091",2009,"Abingdon","Kensington And Chelsea","1","1","Dog","Outdoor","Animal rescue from below ground",255
"38115091",2009,"Heathrow Villages","Hillingdon","1","1","Dog","Dwelling","Animal rescue from height",255
"38412091",2009,"Nunhead & Queen's Road","Southwark","1","1","Cat","Dwelling","Other animal assistance",255
"39040091",2009,"Clock House","Bromley","1","1","Cat","Outdoor Structure","Other animal assistance",255
"39688091",2009,"Bridge","Redbridge","1","2","Cat","Road Vehicle","Other animal assistance",510
"40866091",2009,"Eastbrook","Barking And Dagenham","2","3","Horse","Outdoor","Other animal assistance",765
"40929091",2009,"Fairlop","Redbridge","1","1","Cat","Outdoor","Animal rescue from height",255
"40946091",2009,"Canning Town North","Newham","1","1","Cat","Dwelling","Animal rescue from height",255
"42324091",2009,"Clapham Common","Lambeth","1","2","Bird","Non Residential","Animal rescue from height",510
"42388091",2009,"Chislehurst","Bromley","1","1","Unknown","Non Residential","Other animal assistance",255
"42771091",2009,"West Drayton","Hillingdon","1","1","Bird","Dwelling","Animal rescue from height",255
"42805091",2009,"Danson Park","Bexley","1","1","Bird","Outdoor","Animal rescue from water",255
"43668091",2009,"High Street","Waltham Forest","1","1","Cat","Dwelling","Other animal assistance",255
"44528091",2009,"Bethnal Green","Tower Hamlets","1","1","Cat","Dwelling","Animal rescue from height",255
"44576091",2009,"Green Street West","Newham","1","2","Bird","Dwelling","Animal rescue from height",510
"44593091",2009,"Chingford Green","Waltham Forest","1","1","Sheep","Outdoor","Animal rescue from water",255
"45058091",2009,"South Twickenham","Richmond Upon Thames","1","1","Cat","Outdoor","Animal rescue from below ground",255
"46051091",2009,"Fairfield","Croydon","1","1","Bird","Dwelling","Animal rescue from height",255
"46168091",2009,"Chase","Enfield","1","1","Cat","Outdoor","Animal rescue from height",255
"46614091",2009,"Holborn And Covent Garden","Camden","1","1","Cat","Dwelling","Animal rescue from below ground",255
"46818091",2009,"West Green","Haringey","1","1","Unknown","Dwelling","Other animal assistance",255
"46950091",2009,"Peckham","Southwark","1","1","Cat","Outdoor","Other animal assistance",255
"49666091",2009,"St. Dunstan's","Tower Hamlets","1","1","Dog","Outdoor Structure","Other animal assistance",255
"49798091",2009,"Kilburn","Brent","1","1","Cat","Non Residential","Other animal assistance",255
"50107091",2009,"St. Leonard's","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",255
"50224091",2009,"Goresbrook","Barking And Dagenham","1","1","Dog","Outdoor","Animal rescue from below ground",255
"50969091",2009,"Pettits","Havering","1","1","Dog","Non Residential","Animal rescue from height",255
"51076091",2009,"South Norwood","Croydon","1","1","Cat","Dwelling","Animal rescue from height",255
"51218091",2009,"Grove","Kingston Upon Thames","1","1","Bird","Non Residential","Animal rescue from height",255
"51295091",2009,"Turnham Green","Hounslow","1","1","Bird","Dwelling","Other animal assistance",255
"51306091",2009,"St. Pancras And Somers Town","Camden","1","1","Bird","Dwelling","Animal rescue from height",255
"51613091",2009,"St. Pancras And Somers Town","Camden","1","1","Bird","Outdoor","Animal rescue from height",255
"52735091",2009,"Biggin Hill","Bromley","1","1","Cat","Non Residential","Other animal assistance",255
"53242091",2009,"Ham, Petersham And Richmond Riverside","Richmond Upon Thames","1","1","Cat","Outdoor","Animal rescue from height",255
"53328091",2009,"Boleyn","Newham","1","1","Cat","Dwelling","Other animal assistance",255
"53426091",2009,"Ham, Petersham And Richmond Riverside","Richmond Upon Thames","1","1","Cat","Outdoor","Animal rescue from height",260
"54193091",2009,"East Sheen","Richmond Upon Thames","1","1","Dog","Outdoor Structure","Animal rescue from below ground",260
"54586091",2009,"Lavender Fields","Merton","1","1","Dog","Outdoor","Animal rescue from water",260
"56140091",2009,"Kilburn","Camden","1","1","Cat","Non Residential","Other animal assistance",260
"56826091",2009,"Hale","Barnet","1","1","Dog","Dwelling","Other animal assistance",260
"57003091",2009,"Bellingham","Lewisham","1","1","Dog","Non Residential","Other animal assistance",260
"58297091",2009,"South Croydon","Croydon","1","1","Cat","Outdoor","Animal rescue from height",260
"59370091",2009,"Woodside","Croydon","1","1","Cat","Dwelling","Other animal assistance",260
"59435091",2009,"Stockwell","Lambeth","1","1","Bird","Dwelling","Animal rescue from height",260
"60105091",2009,"Earl's Court","Kensington And Chelsea","1","1","Unknown","Dwelling","Animal rescue from height",260
"60185091",2009,"Barnsbury","Islington","1","1","Cat","Dwelling","Other animal assistance",260
"60188091",2009,"Sutton Central","Sutton","1","1","Cat","Outdoor","Animal rescue from height",260
"60418091",2009,"Harrow Weald","Harrow","1","2","Cat","Dwelling","Animal rescue from below ground",520
"60935091",2009,"Charville","Hillingdon","1","1","Dog","Outdoor","Other animal assistance",260
"61258091",2009,"St. Mary's Park","Wandsworth","1","1","Cat","Dwelling","Animal rescue from height",260
"61338091",2009,"West Ruislip","Hillingdon","1","1","Cat","Dwelling","Animal rescue from height",260
"62970091",2009,"East Ham North","Newham","1","1","Cat","Dwelling","Animal rescue from height",260
"63575091",2009,"Village","Barking And Dagenham","1","1","Dog","Dwelling","Other animal assistance",260
"63759091",2009,"Brooklands","Havering","1","1","Dog","Outdoor","Animal rescue from water",260
"64532091",2009,"St. Peter's","Islington","1","1","Cat","Dwelling","Animal rescue from below ground",260
"64561091",2009,"Hyde Park","Westminster","1","1","Cat","Dwelling","Animal rescue from below ground",260
"64780091",2009,"Green Street West","Newham","1","1","Cat","Dwelling","Other animal assistance",260
"65083091",2009,"Edgware","Barnet","1","1","Cat","Dwelling","Animal rescue from height",260
"65250091",2009,"Custom House","Newham","1","1","Cat","Outdoor","Animal rescue from height",260
"66330091",2009,"Pettits","Havering","1","1","Cat","Dwelling","Animal rescue from height",260
"66477091",2009,"Highgate","Haringey","1","1","Dog","Road Vehicle","Other animal assistance",260
"66704091",2009,"Tottenham Hale","Haringey","1","1","Cat","Dwelling","Other animal assistance",260
"67069091",2009,"Little Ilford","Newham","1","1","Cat","Dwelling","Other animal assistance",260
"67368091",2009,"West Thornton","Croydon","1","1","Cat","Dwelling","Animal rescue from below ground",260
"67495091",2009,"Victoria","Hackney","1","1","Cat","Dwelling","Animal rescue from height",260
"67718091",2009,"East Ham South","Newham","1","1","Cat","Dwelling","Animal rescue from height",260
"67891091",2009,"Ponders End","Enfield","1","1","Cat","Outdoor","Animal rescue from height",260
"68399091",2009,"Sutton West","Sutton","1","1","Cat","Dwelling","Animal rescue from height",260
"68438091",2009,"Homerton","Hackney","1","1","Cat","Outdoor","Other animal assistance",260
"68463091",2009,"Homerton","Hackney","1","1","Cat","Outdoor","Other animal assistance",260
"69109091",2009,"Shepherd's Bush Green","Hammersmith And Fulham","1","1","Cat","Non Residential","Animal rescue from below ground",260
"69428091",2009,"Woodside","Croydon","1","1","Cat","Dwelling","Animal rescue from height",260
"69718091",2009,"Cathall","Waltham Forest","1","1","Cat","Non Residential","Animal rescue from height",260
"70888091",2009,"Bow West","Tower Hamlets","1","1","Cat","Outdoor","Animal rescue from water",260
"70939091",2009,"Thames","Barking And Dagenham","1","1","Cat","Non Residential","Other animal assistance",260
"71406091",2009,"Ravenscourt Park","Hammersmith And Fulham","1","1","Dog","Non Residential","Animal rescue from height",260
"72306091",2009,"Berrylands","Kingston Upon Thames","1","1","Cat","Dwelling","Animal rescue from water",260
"72385091",2009,"Clapham Common","Lambeth","1","1","Bird","Dwelling","Animal rescue from height",260
"72856091",2009,"Finsbury Park","Islington","1","1","Cat","Dwelling","Other animal assistance",260
"73167091",2009,"Squirrel's Heath","Havering","1","1","Fox","Outdoor","Animal rescue from water",260
"73250091",2009,"Clapham Town","Lambeth","1","1","Cat","Dwelling","Animal rescue from below ground",260
"73338091",2009,"Ponders End","Enfield","1","2","Dog","Non Residential","Other animal assistance",520
"73771091",2009,"Enfield Highway","Enfield","1","1","Bird","Dwelling","Animal rescue from height",260
"74585091",2009,"St. Peter's","Islington","1","1","Bird","Outdoor","Animal rescue from height",260
"74705091",2009,"Homerton","Hackney","1","1","Bird","Non Residential","Animal rescue from height",260
"75025091",2009,"Abbey Road","Westminster","1","1","Dog","Dwelling","Other animal assistance",260
"75774091",2009,"Alexandra","Kingston Upon Thames","1","1","Cat","Dwelling","Animal rescue from height",260
"75866091",2009,"Hacton","Havering","1","1","Dog","Outdoor","Animal rescue from height",260
"75921091",2009,"Chislehurst","Bromley","1","1","Cat","Dwelling","Animal rescue from height",260
"76285091",2009,"Upper Edmonton","Enfield","1","2","Horse","Outdoor","Animal rescue from water",520
"77153091",2009,"Yiewsley","Hillingdon","2","3","Deer","Outdoor","Other animal assistance",780
"77871091",2009,"East Sheen","Richmond Upon Thames","1","1","Bird","Outdoor","Animal rescue from height",260
"78016091",2009,"Figge's Marsh","Merton","1","1","Cat","Dwelling","Other animal assistance",260
"78207091",2009,"Edmonton Green","Enfield","1","1","Bird","Dwelling","Animal rescue from height",260
"78277091",2009,"Grange","Enfield","1","1","Bird","Non Residential","Animal rescue from height",260
"78838091",2009,"Mile End","Tower Hamlets","3","7","Cat","Outdoor","Animal rescue from water",1820
"78877091",2009,"Shepherd's Bush Green","Hammersmith And Fulham","1","1","Cat","Dwelling","Animal rescue from below ground",260
"78887091",2009,"Mill Hill","Barnet","1","1","Dog","Outdoor","Other animal assistance",260
"79115091",2009,"Markhouse","Waltham Forest","1","1","Cat","Outdoor","Animal rescue from height",260
"79225091",2009,"Underhill","Barnet","1","1","Bird","Dwelling","Animal rescue from height",260
"79685091",2009,"Queen's Gate","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from height",260
"79935091",2009,"Chelsea Riverside","Kensington And Chelsea","1","1","Cat","Dwelling","Other animal assistance",260
"79987091",2009,"Hackney Downs","Hackney","1","1","Cat","Dwelling","Other animal assistance",260
"80034091",2009,"Hampton","Richmond Upon Thames","1","1","Bird","Dwelling","Animal rescue from height",260
"80571091",2009,"Garden Suburb","Barnet","1","1","Squirrel","Road Vehicle","Other animal assistance",260
"80721091",2009,"Palace Riverside","Hammersmith And Fulham","1","1","Dog","Dwelling","Other animal assistance",260
"80733091",2009,"Mile End","Tower Hamlets","2","3","Fox","Dwelling","Animal rescue from below ground",780
"81137091",2009,"Lower Edmonton","Enfield","1","1","Bird","Dwelling","Animal rescue from below ground",260
"81584091",2009,"Alexandra","Haringey","1","2","Cat","Outdoor","Animal rescue from height",520
"81713091",2009,"Dormers Wells","Ealing","1","1","Bird","Dwelling","Animal rescue from height",260
"81770091",2009,"Bow West","Tower Hamlets","1","1","Cat","Outdoor Structure","Animal rescue from height",260
"82208091",2009,"Dollis Hill","Brent","1","1","Dog","Road Vehicle","Other animal assistance",260
"82239091",2009,"Orpington","Bromley","1","1","Dog","Road Vehicle","Other animal assistance",260
"82314091",2009,"Barkingside","Redbridge","1","1","Dog","Outdoor","Animal rescue from below ground",260
"82769091",2009,"New Addington North","Croydon","1","1","Cat","Dwelling","Animal rescue from below ground",260
"83410091",2009,"Cranbrook","Redbridge","1","4","Bird","Dwelling","Animal rescue from height",1040
"83903091",2009,"Uxbridge South","Hillingdon","1","1","Bird","Non Residential","Animal rescue from below ground",260
"83922091",2009,"Enfield Lock","Enfield","1","1","Bird","Outdoor Structure","Animal rescue from height",260
"84125091",2009,"Walpole","Ealing","1","1","Cat","Outdoor","Animal rescue from height",260
"84176091",2009,"Heathrow Villages","Hillingdon","1","1","Bird","Non Residential","Animal rescue from height",260
"84307091",2009,"Frognal And Fitzjohns","Camden","1","1","Cat","Dwelling","Animal rescue from below ground",260
"84523091",2009,"Goresbrook","Barking And Dagenham","1","1","Bird","Dwelling","Other animal assistance",260
"85725091",2009,"Underhill","Barnet","1","1","Bird","Dwelling","Animal rescue from height",260
"85961091",2009,"Grove","Kingston Upon Thames","1","1","Bird","Outdoor","Animal rescue from height",260
"86422091",2009,"Crook Log","Bexley","1","1","Cat","Non Residential","Other animal assistance",260
"87224091",2009,"Jubilee","Enfield","1","1","Bird","Dwelling","Animal rescue from below ground",260
"87402091",2009,"Valley","Waltham Forest","1","2","Horse","Outdoor","Animal rescue from water",520
"87493091",2009,"Chingford Green","Waltham Forest","1","1","Dog","Outdoor","Animal rescue from height",260
"89326091",2009,"Mill Hill","Barnet","1","1","Cat","Dwelling","Animal rescue from below ground",260
"89957091",2009,"Valley","Waltham Forest","1","1","Horse","Outdoor","Animal rescue from water",260
"90144091",2009,"Becontree","Barking And Dagenham","1","1","Bird","Dwelling","Other animal assistance",260
"90706091",2009,"Kidbrooke With Hornfair","Greenwich","1","1","Dog","Dwelling","Other animal assistance",260
"90806091",2009,"Downham","Lewisham","1","1","Bird","Dwelling","Animal rescue from height",260
"92294091",2009,"Fairfield","Wandsworth","1","1","Unknown","Dwelling","Animal rescue from height",260
"92335091",2009,"Merton Park","Merton","1","1","Cat","Dwelling","Animal rescue from height",260
"92987091",2009,"Endlebury","Waltham Forest","1","1","Squirrel","Dwelling","Animal rescue from height",260
"93306091",2009,"Enfield Highway","Enfield","1","1","Cat","Outdoor","Animal rescue from height",260
"93409091",2009,"Shadwell","Tower Hamlets","1","1","Cat","Outdoor","Animal rescue from below ground",260
"93474091",2009,"Blackfen And Lamorbey","Bexley","1","1","Dog","Outdoor","Other animal assistance",260
"93633091",2009,"Hackney Downs","Hackney","1","1","Dog","Outdoor","Other animal assistance",260
"93664091",2009,"Plaistow And Sundridge","Bromley","1","1","Cat","Dwelling","Animal rescue from height",260
"93755091",2009,"Walpole","Ealing","1","1","Cat","Outdoor","Animal rescue from height",260
"93771091",2009,"Brockley","Lewisham","1","1","Bird","Outdoor","Animal rescue from height",260
"93925091",2009,"East Finchley","Barnet","1","1","Bird","Dwelling","Animal rescue from height",260
"94505091",2009,"Plaistow And Sundridge","Bromley","1","1","Cat","Outdoor","Animal rescue from height",260
"94526091",2009,"Chapel End","Waltham Forest","1","1","Cat","Dwelling","Other animal assistance",260
"94847091",2009,"West Drayton","Hillingdon","1","1","Dog","Outdoor Structure","Other animal assistance",260
"95289091",2009,"Selhurst","Croydon","1","1","Bird","Dwelling","Animal rescue from height",260
"95595091",2009,"Willesden Green","Brent","1","1","Unknown","Dwelling","Animal rescue from water",260
"96023091",2009,"Parsons Green And Walham","Hammersmith And Fulham","1","1","Cat","Dwelling","Other animal assistance",260
"96063091",2009,"Grove","Kingston Upon Thames","1","1","Bird","Non Residential","Animal rescue from height",260
"96083091",2009,"Grove","Kingston Upon Thames","1","1","Bird","Non Residential","Animal rescue from height",260
"96737091",2009,"Goodmayes","Redbridge","1","1","Dog","Dwelling","Animal rescue from height",260
"96751091",2009,"Waddon","Croydon","1","1","Unknown","Non Residential","Other animal assistance",260
"97181091",2009,"Downham","Lewisham","1","1","Cat","Dwelling","Other animal assistance",260
"97816091",2009,"Grange","Enfield","1","1","Bird","Non Residential","Animal rescue from height",260
"98231091",2009,"Plaistow South","Newham","1","1","Cat","Dwelling","Animal rescue from below ground",260
"98345091",2009,"North Bermondsey","Southwark","1","1","Cat","Dwelling","Animal rescue from height",260
"98378091",2009,"Greenford Broadway","Ealing","1","3","Dog","Dwelling","Animal rescue from below ground",780
"99402091",2009,"Waddon","Croydon","1","1","Cat","Dwelling","Animal rescue from height",260
"100131091",2009,"Cantelowes","Camden","1","1","Bird","Dwelling","Animal rescue from height",260
"100378091",2009,"Wall End","Newham","1","1","Cat","Dwelling","Other animal assistance",260
"100421091",2009,"Totteridge","Barnet","1","1","Cat","Dwelling","Animal rescue from below ground",260
"100673091",2009,"Ham, Petersham And Richmond Riverside","Richmond Upon Thames","1","1","Dog","Outdoor Structure","Other animal assistance",260
"100748091",2009,"Carshalton South And Clockhouse","Sutton","1","1","Dog","Dwelling","Other animal assistance",260
"101149091",2009,"Southgate Green","Enfield","1","1","Cat","Dwelling","Animal rescue from height",260
"101172091",2009,"Finchley Church End","Barnet","1","1","Dog","Dwelling","Animal rescue from height",260
"101506091",2009,"Thornton Heath","Croydon","1","1","Snake","Dwelling","Other animal assistance",260
"101787091",2009,"Markhouse","Waltham Forest","1","1","Cat","Road Vehicle","Other animal assistance",260
"102083091",2009,"Lansbury","Tower Hamlets","1","1","Dog","Outdoor","Other animal assistance",260
"102278091",2009,"Higham Hill","Waltham Forest","2","3","Horse","Outdoor","Animal rescue from water",780
"103485091",2009,"Lea Bridge","Waltham Forest","1","1","Bird","Dwelling","Animal rescue from height",260
"103550091",2009,"Pembridge","Kensington And Chelsea","1","1","Cat","Outdoor","Animal rescue from height",260
"104724091",2009,"South Norwood","Croydon","1","1","Bird","Dwelling","Other animal assistance",260
"104744091",2009,"Dormers Wells","Ealing","1","1","Bird","Outdoor","Animal rescue from height",260
"104839091",2009,"Lewisham Central","Lewisham","1","1","Dog","Outdoor","Animal rescue from water",260
"104860091",2009,"Northumberland Park","Haringey","1","1","Cat","Dwelling","Other animal assistance",260
"104961091",2009,"Bensham Manor","Croydon","1","1","Cat","Dwelling","Other animal assistance",260
"105152091",2009,"Thurlow Park","Lambeth","1","1","Bird","Non Residential","Other animal assistance",260
"105158091",2009,"Ladywell","Lewisham","1","1","Cat","Dwelling","Other animal assistance",260
"105324091",2009,"Knightsbridge And Belgravia","Westminster","1","2","Fox","Dwelling","Animal rescue from height",520
"105494091",2009,"Lee Green","Lewisham","1","1","Dog","Outdoor","Animal rescue from water",260
"105589091",2009,"Bounds Green","Haringey","1","1","Dog","Road Vehicle","Other animal assistance",260
"105830091",2009,"East Ham South","Newham","1","1","Cat","Dwelling","Animal rescue from water",260
"105902091",2009,"West Wickham","Bromley","1","2","Cat","Outdoor","Animal rescue from height",520
"106013091",2009,"Carshalton Central","Sutton","1","1","Bird","Dwelling","Animal rescue from height",260
