"IncidentNumber","Year","Ward","Borough","PumpCount","PumpHoursTotal","Type","PropertyCategory","RescueType","RescueCost"
"83720101",2010,"Custom House","Newham","1","1","Unknown","Dwelling","Other animal assistance",260
"84519101",2010,"Endlebury","Waltham Forest","1","1","Bird","Outdoor Structure","Other animal assistance",260
"84569101",2010,"Thurlow Park","Lambeth","1","1","Unknown","Outdoor","Animal rescue from below ground",260
"84915101",2010,"St. Katharine's & Wapping","Tower Hamlets","2","3","Bird","Outdoor","Animal rescue from water",780
"85446101",2010,"White Hart Lane","Haringey","1","1","Bird","Outdoor","Animal rescue from below ground",260
"85448101",2010,"Colville","Kensington And Chelsea","1","1","Fox","Dwelling","Animal rescue from height",260
"85659101",2010,"Gospel Oak","Camden","1","1","Unknown","Dwelling","Animal rescue from height",260
"86323101",2010,"Blackheath","Lewisham","1","1","Dog","Dwelling","Animal rescue from height",260
"86786101",2010,"Preston","Brent","1","1","Bird","Dwelling","Animal rescue from height",260
"86997101",2010,"Harringay","Haringey","1","1","Cat","Dwelling","Other animal assistance",260
"88642101",2010,"Cannon Hill","Merton","1","1","Bird","Outdoor","Animal rescue from height",260
"88800101",2010,"Latchmere","Wandsworth","1","1","Cat","Dwelling","Animal rescue from height",260
"88816101",2010,"Cannon Hill","Merton","1","2","Bird","Outdoor","Animal rescue from height",520
"89282101",2010,"Mayesbrook","Barking And Dagenham","1","1","Bird","Non Residential","Animal rescue from height",260
"89323101",2010,"St. Peter's","Tower Hamlets","1","1","Cat","Dwelling","Animal rescue from height",260
"89353101",2010,"Wallington North","Sutton","1","1","Cat","Outdoor","Animal rescue from height",260
"89432101",2010,"Colville","Kensington And Chelsea","1","1","Dog","Road Vehicle","Other animal assistance",260
"89514101",2010,"Middle Park And Sutcliffe","Greenwich","1","1","Bird","Outdoor","Animal rescue from height",260
"90438101",2010,"Southfields","Wandsworth","1","1","Cat","Outdoor Structure","Animal rescue from below ground",260
"90448101",2010,"Crofton Park","Lewisham","1","1","Cat","Dwelling","Animal rescue from height",260
"91207101",2010,"Knight's Hill","Lambeth","1","1","Cat","Dwelling","Other animal assistance",260
"91792101",2010,"Redcliffe","Kensington And Chelsea","1","1","Cat","Outdoor Structure","Other animal assistance",260
"91980101",2010,"Tollington","Islington","1","1","Bird","Non Residential","Animal rescue from height",260
"93111101",2010,"Eastcote And East Ruislip","Hillingdon","1","1","Deer","Outdoor Structure","Other animal assistance",260
"93658101",2010,"Tulse Hill","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"93813101",2010,"Hackney Central","Hackney","1","1","Bird","Outdoor","Other animal assistance",260
"93843101",2010,"Acton Central","Ealing","1","1","Cat","Non Residential","Other animal assistance",260
"94209101",2010,"Bow West","Tower Hamlets","1","1","Cat","Dwelling","Other animal assistance",260
"94233101",2010,"Hornsey","Haringey","1","1","Fox","Non Residential","Other animal assistance",260
"94513101",2010,"Southfield","Ealing","1","1","Unknown","Dwelling","Other animal assistance",260
"94576101",2010,"Streatham Hill","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"94956101",2010,"Heathfield","Richmond Upon Thames","1","1","Bird","Dwelling","Animal rescue from height",260
"95038101",2010,"Earlsfield","Wandsworth","1","1","Unknown","Dwelling","Animal rescue from height",260
"95128101",2010,"Caledonian","Islington","1","1","Dog","Dwelling","Other animal assistance",260
"95514101",2010,"Surrey Docks","Southwark","1","1","Bird","Outdoor","Animal rescue from height",260
"95570101",2010,"Tooting","Wandsworth","1","1","Unknown","Outdoor","Animal rescue from height",260
"96006101",2010,"Chiswick Riverside","Hounslow","1","1","Bird","Outdoor","Animal rescue from height",260
"96413101",2010,"Upper Norwood","Croydon","1","1","Unknown","Outdoor","Animal rescue from height",260
"96549101",2010,"Stonebridge","Brent","2","3","Dog","Outdoor","Animal rescue from below ground",780
"96600101",2010,"Hammersmith Broadway","Hammersmith And Fulham","1","1","Cat","Dwelling","Animal rescue from below ground",260
"96641101",2010,"West Hill","Wandsworth","1","1","Dog","Non Residential","Animal rescue from height",260
"97096101",2010,"St. Katharine's & Wapping","Tower Hamlets","1","1","Dog","Dwelling","Other animal assistance",260
"408102",2010,"Willesden Green","Brent","1","1","Bird","Non Residential","Animal rescue from height",260
"97326101",2010,"Hackney Wick","Hackney","1","2","Cat","Outdoor","Animal rescue from water",520
"97443101",2010,"Southfields","Wandsworth","1","1","Cat","Dwelling","Animal rescue from height",260
"97555101",2010,"The Lane","Southwark","1","1","Bird","Outdoor","Animal rescue from height",260
"98110101",2010,"Southfields","Wandsworth","1","1","Bird","Dwelling","Animal rescue from height",260
"98136101",2010,"Abbey","Merton","1","1","Dog","Outdoor","Other animal assistance",260
"98594101",2010,"Cranford","Hounslow","1","1","Cat","Road Vehicle","Other animal assistance",260
"98661101",2010,"Highbury West","Islington","1","1","Dog","Outdoor Structure","Other animal assistance",260
"98674101",2010,"Clayhall","Redbridge","1","1","Rabbit","Dwelling","Other animal assistance",260
"98740101",2010,"Stamford Hill West","Hackney","1","1","Cat","Dwelling","Animal rescue from below ground",260
"99084101",2010,"Blackwall & Cubitt Town","Tower Hamlets","1","1","Dog","Road Vehicle","Other animal assistance",260
"99291101",2010,"Holborn And Covent Garden","Camden","1","1","Bird","Non Residential","Animal rescue from height",260
"99545101",2010,"Fullwell","Redbridge","1","1","Cat","Non Residential","Animal rescue from below ground",260
"99846101",2010,"West Drayton","Hillingdon","1","1","Bird","Dwelling","Animal rescue from height",260
"99960101",2010,"Shooters Hill","Greenwich","1","1","Cat","Outdoor","Other animal assistance",260
"100001101",2010,"Courtfield","Kensington And Chelsea","1","1","Bird","Dwelling","Animal rescue from height",260
"100395101",2010,"West Twickenham","Richmond Upon Thames","1","2","Cat","Dwelling","Other animal assistance",520
"100611101",2010,"Queen's Park","Westminster","3","8","Cat","Dwelling","Animal rescue from height",2080
"100615101",2010,"Homerton","Hackney","1","1","Dog","Outdoor","Animal rescue from below ground",260
"100633101",2010,"Uxbridge South","Hillingdon","1","1","Bird","Outdoor Structure","Animal rescue from below ground",260
"100733101",2010,"Hampstead Town","Camden","1","1","Bird","Outdoor","Animal rescue from below ground",260
"100859101",2010,"Edgware","Barnet","1","1","Bird","Non Residential","Animal rescue from below ground",260
"101157101",2010,"Woodside","Croydon","1","2","Cat","Dwelling","Other animal assistance",520
"101238101",2010,"Larkswood","Waltham Forest","1","2","Cat","Dwelling","Other animal assistance",520
"101492101",2010,"West Wickham","Bromley","1","1","Dog","Dwelling","Animal rescue from height",260
"101869101",2010,"Coppetts","Barnet","1","1","Cat","Outdoor Structure","Animal rescue from below ground",260
"102221101",2010,"Crystal Palace","Bromley","1","2","Cat","Outdoor","Animal rescue from height",520
"103128101",2010,"Hainault","Redbridge","1","1","Unknown","Dwelling","Animal rescue from height",260
"103894101",2010,"Bruce Grove","Haringey","1","1","Unknown","Outdoor Structure","Animal rescue from below ground",260
"104048101",2010,"Shirley North","Croydon","1","1","Cat","Dwelling","Animal rescue from height",260
"104212101",2010,"King's Park","Hackney","1","1","Dog","Outdoor Structure","Animal rescue from below ground",260
"104525101",2010,"Barnehurst","Bexley","1","1","Cat","Dwelling","Animal rescue from below ground",260
"105169101",2010,"Champion Hill","Southwark","1","1","Cat","Dwelling","Animal rescue from height",260
"105429101",2010,"Belvedere","Bexley","1","1","Horse","Outdoor","Animal rescue from below ground",260
"105684101",2010,"Sands End","Hammersmith And Fulham","1","1","Unknown","Dwelling","Other animal assistance",260
"106296101",2010,"Twickenham Riverside","Richmond Upon Thames","1","2","Cat","Dwelling","Animal rescue from below ground",520
"106365101",2010,"Penge And Cator","Bromley","1","1","Cat","Dwelling","Other animal assistance",260
"106377101",2010,"Camden Town With Primrose Hill","Camden","1","1","Cat","Outdoor","Animal rescue from height",260
"106783101",2010,"Hounslow Central","Hounslow","1","1","Cat","Outdoor","Animal rescue from height",260
"106824101",2010,"Twickenham Riverside","Richmond Upon Thames","1","1","Cat","Dwelling","Animal rescue from below ground",260
"108173101",2010,"Ladywell","Lewisham","1","1","Cat","Outdoor","Animal rescue from height",260
"108334101",2010,"St. Mary's & St. James","Bexley","1","1","Horse","Outdoor","Other animal assistance",260
"109050101",2010,"Stroud Green","Haringey","1","1","Bird","Dwelling","Animal rescue from height",260
"109356101",2010,"Becontree","Barking And Dagenham","1","1","Bird","Dwelling","Animal rescue from height",260
"109997101",2010,"St. James's","Westminster","1","1","Bird","Non Residential","Animal rescue from height",260
"110211101",2010,"Blackwall & Cubitt Town","Tower Hamlets","1","1","Dog","Outdoor","Animal rescue from water",260
"110217101",2010,"Enfield Highway","Enfield","1","1","Deer","Outdoor","Other animal assistance",260
"110849101",2010,"Harringay","Haringey","1","1","Bird","Dwelling","Animal rescue from height",260
"110956101",2010,"St. Mary's","Islington","1","2","Unknown","Dwelling","Animal rescue from below ground",520
"110963101",2010,"Junction","Islington","1","1","Cat","Dwelling","Animal rescue from height",260
"110986101",2010,"Lea Bridge","Waltham Forest","1","1","Bird","Dwelling","Animal rescue from height",260
"112055101",2010,"Clapham Common","Lambeth","1","1","Cat","Non Residential","Other animal assistance",260
"113121101",2010,"White Hart Lane","Haringey","1","1","Dog","Dwelling","Other animal assistance",260
"113351101",2010,"Abbey","Merton","1","1","Fox","Non Residential","Other animal assistance",260
"114151101",2010,"Canons","Harrow","1","1","Cat","Dwelling","Other animal assistance",260
"114353101",2010,"Brockley","Lewisham","1","1","Cat","Dwelling","Animal rescue from height",260
"114393101",2010,"Endlebury","Waltham Forest","1","1","Unknown","Dwelling","Other animal assistance",260
"114476101",2010,"Bow West","Tower Hamlets","1","1","Cat","Dwelling","Animal rescue from below ground",260
"114825101",2010,"Bellingham","Lewisham","1","1","Cat","Dwelling","Animal rescue from below ground",260
"114832101",2010,"Northumberland Park","Haringey","1","1","Bird","Outdoor Structure","Animal rescue from height",260
"115623101",2010,"Northumberland Park","Haringey","1","1","Bird","Non Residential","Animal rescue from height",260
"116271101",2010,"Farnborough And Crofton","Bromley","1","2","Cat","Outdoor","Animal rescue from height",520
"116813101",2010,"London Fields","Hackney","1","1","Cat","Outdoor Structure","Other animal assistance",260
"117301101",2010,"Brunswick Park","Barnet","1","1","Cat","Dwelling","Other animal assistance",260
"117461101",2010,"Harrow On The Hill","Harrow","1","1","Cat","Dwelling","Animal rescue from below ground",260
"117523101",2010,"Norland","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from water",260
"117542101",2010,"South Hornchurch","Havering","1","1","Cat","Dwelling","Animal rescue from below ground",260
"117544101",2010,"Edmonton Green","Enfield","1","1","Dog","Outdoor","Animal rescue from below ground",260
"117546101",2010,"Pembridge","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from water",260
"117703101",2010,"Clissold","Hackney","1","1","Bird","Dwelling","Other animal assistance",260
"117804101",2010,"Caledonian","Islington","1","1","Cat","Outdoor","Animal rescue from height",260
"117819101",2010,"Golborne","Kensington And Chelsea","1","2","Unknown","Outdoor","Other animal assistance",520
"118253101",2010,"Plaistow North","Newham","1","1","Cat","Outdoor","Animal rescue from height",260
"118454101",2010,"Heaton","Havering","1","1","Dog","Dwelling","Other animal assistance",260
"118571101",2010,"Springfield","Hackney","1","1","Cat","Dwelling","Animal rescue from below ground",260
"119188101",2010,"Lansbury","Tower Hamlets","1","1","Cat","Outdoor Structure","Other animal assistance",260
"119823101",2010,"Coldharbour","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"120568101",2010,"South Ruislip","Hillingdon","1","1","Bird","Outdoor","Animal rescue from height",260
"121120101",2010,"St. Leonard's","Lambeth","1","1","Fox","Non Residential","Animal rescue from height",260
"121273101",2010,"Woolwich Riverside","Greenwich","1","1","Cat","Dwelling","Animal rescue from height",260
"122019101",2010,"West Hampstead","Camden","1","1","Cat","Dwelling","Animal rescue from height",260
"122107101",2010,"Markhouse","Waltham Forest","1","3","Cat","Non Residential","Animal rescue from below ground",780
"122528101",2010,"Stamford Hill West","Hackney","1","1","Cat","Dwelling","Animal rescue from height",260
"122530101",2010,"East Sheen","Richmond Upon Thames","1","3","Dog","Outdoor","Animal rescue from below ground",780
"123241101",2010,"Goodmayes","Redbridge","1","1","Cat","Outdoor","Other animal assistance",260
"123273101",2010,"Highlands","Enfield","1","1","Dog","Outdoor","Other animal assistance",260
"123783101",2010,"East Ham Central","Newham","1","1","Bird","Non Residential","Animal rescue from height",260
"123880101",2010,"High Barnet","Barnet","1","1","Dog","Dwelling","Animal rescue from height",260
"124199101",2010,"Feltham North","Hounslow","1","1","Unknown","Dwelling","Animal rescue from height",260
"124697101",2010,"Northcote","Wandsworth","1","1","Cat","Outdoor","Animal rescue from height",260
"125476101",2010,"Stanmore Park","Harrow","1","1","Cat","Outdoor","Animal rescue from height",260
"125537101",2010,"Avonmore And Brook Green","Hammersmith And Fulham","1","1","Cat","Dwelling","Animal rescue from height",260
"125540101",2010,"Ravenscourt Park","Hammersmith And Fulham","1","1","Dog","Outdoor","Other animal assistance",260
"126024101",2010,"Grove","Kingston Upon Thames","1","1","Bird","Outdoor","Animal rescue from height",260
"126116101",2010,"Streatham South","Lambeth","1","1","Bird","Non Residential","Animal rescue from height",260
"126254101",2010,"Ealing Common","Ealing","1","1","Cat","Dwelling","Animal rescue from height",260
"126259101",2010,"Blendon & Penhill","Bexley","1","1","Cat","Dwelling","Animal rescue from height",260
"126830101",2010,"Valley","Waltham Forest","1","1","Cat","Road Vehicle","Other animal assistance",260
"126895101",2010,"Livesey","Southwark","1","1","Cat","Outdoor","Animal rescue from height",260
"127410101",2010,"Nunhead & Queen's Road","Southwark","1","1","Cat","Dwelling","Animal rescue from height",260
"127800101",2010,"Norbury","Croydon","1","1","Dog","Outdoor","Other animal assistance",260
"128604101",2010,"Tottenham Hale","Haringey","1","1","Squirrel","Outdoor Structure","Animal rescue from height",260
"128625101",2010,"Crystal Palace","Bromley","1","1","Cat","Dwelling","Animal rescue from height",260
"128740101",2010,"St. James's","Westminster","1","1","Bird","Outdoor Structure","Animal rescue from height",260
"128803101",2010,"Sydenham","Lewisham","1","1","Cat","Dwelling","Other animal assistance",260
"129048101",2010,"Sutton West","Sutton","1","1","Fish","Outdoor","Other animal assistance",260
"129068101",2010,"Rye Lane","Southwark","1","1","Cat","Dwelling","Animal rescue from height",260
"129261101",2010,"Chase","Enfield","2","5","Fish","Outdoor","Other animal assistance",1300
"129276101",2010,"Marylebone High Street","Westminster","1","1","Cat","Dwelling","Animal rescue from height",260
"129472101",2010,"Beckton","Newham","1","1","Cat","Dwelling","Other animal assistance",260
"129960101",2010,"Mawneys","Havering","1","1","Unknown","Outdoor Structure","Other animal assistance",260
"130577101",2010,"Erith","Bexley","1","1","Bird","Outdoor","Animal rescue from water",260
"130721101",2010,"Crofton Park","Lewisham","1","1","Cat","Outdoor","Animal rescue from height",260
"130810101",2010,"London Bridge & West Bermondsey","Southwark","1","1","Cat","Non Residential","Other animal assistance",260
"131013101",2010,"Peckham Rye","Southwark","1","1","Cat","Dwelling","Other animal assistance",260
"131115101",2010,"Harrow Weald","Harrow","1","1","Dog","Outdoor Structure","Other animal assistance",260
"131165101",2010,"St. Mark's","Kingston Upon Thames","1","1","Cat","Dwelling","Animal rescue from height",260
"132244101",2010,"Earl's Court","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from height",260
"133381101",2010,"Parsons Green And Walham","Hammersmith And Fulham","1","1","Bird","Outdoor Structure","Animal rescue from height",260
"133966101",2010,"Earl's Court","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from below ground",260
"134701101",2010,"Shirley North","Croydon","1","1","Bird","Dwelling","Animal rescue from height",260
"134823101",2010,"St. Peter's","Islington","1","1","Bird","Outdoor","Animal rescue from height",260
"135035101",2010,"Weavers","Tower Hamlets","1","1","Bird","Non Residential","Animal rescue from height",260
"135823101",2010,"West End","Westminster","1","1","Cat","Dwelling","Other animal assistance",260
"135844101",2010,"Gooshays","Havering","1","1","Deer","Outdoor","Other animal assistance",260
"135930101",2010,"Edgware","Harrow","1","1","Bird","Dwelling","Animal rescue from height",260
"137073101",2010,"Rayners Lane","Harrow","1","1","Cat","Dwelling","Other animal assistance",260
"137082101",2010,"Eastcote And East Ruislip","Hillingdon","1","1","Cat","Dwelling","Animal rescue from height",260
"137703101",2010,"Redcliffe","Kensington And Chelsea","1","1","Unknown","Dwelling","Animal rescue from below ground",260
"137899101",2010,"Hylands","Havering","1","1","Dog","Outdoor","Other animal assistance",260
"138210101",2010,"Harlesden","Brent","1","1","Cat","Dwelling","Animal rescue from height",260
"138463101",2010,"Ham, Petersham And Richmond Riverside","Richmond Upon Thames","1","1","Dog","Outdoor Structure","Other animal assistance",260
"139163101",2010,"Wall End","Newham","1","4","Cat","Dwelling","Animal rescue from below ground",1040
"140157101",2010,"Palmers Green","Enfield","1","1","Bird","Dwelling","Animal rescue from height",260
"140766101",2010,"Selsdon & Addington Village","Croydon","1","1","Horse","Non Residential","Other animal assistance",260
"140977101",2010,"Ham, Petersham And Richmond Riverside","Richmond Upon Thames","1","1","Cat","Non Residential","Animal rescue from height",260
"141020101",2010,"North Richmond","Richmond Upon Thames","1","1","Cat","Outdoor","Animal rescue from below ground",260
"141331101",2010,"Woolwich Common","Greenwich","1","1","Cat","Dwelling","Animal rescue from height",260
"141958101",2010,"Abingdon","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from below ground",260
"142028101",2010,"Elthorne","Ealing","1","1","Cat","Outdoor","Animal rescue from height",260
"142243101",2010,"Clapham Town","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"142434101",2010,"Woolwich Riverside","Greenwich","1","2","Cat","Boat","Animal rescue from water",520
"143104101",2010,"Woodberry Down","Hackney","1","2","Bird","Non Residential","Other animal assistance",520
"143684101",2010,"East Ham Central","Newham","1","1","Cat","Non Residential","Animal rescue from height",260
"143724101",2010,"Fairlop","Redbridge","1","1","Cat","Non Residential","Other animal assistance",260
"144084101",2010,"Village","Barking And Dagenham","1","1","Cat","Dwelling","Other animal assistance",260
"144631101",2010,"Addiscombe East","Croydon","1","1","Dog","Outdoor","Other animal assistance",260
"145674101",2010,"West Hampstead","Camden","1","1","Bird","Outdoor Structure","Animal rescue from below ground",260
"145807101",2010,"Shadwell","Tower Hamlets","1","1","Cat","Outdoor Structure","Animal rescue from height",260
"146509101",2010,"Clapham Common","Lambeth","1","1","Fox","Dwelling","Animal rescue from below ground",260
"146732101",2010,"Brooklands","Havering","2","3","Cat","Dwelling","Other animal assistance",780
"146953101",2010,"Bush Hill Park","Enfield","1","1","Cat","Dwelling","Other animal assistance",260
"147305101",2010,"St. James's","Westminster","1","1","Cat","Dwelling","Animal rescue from below ground",260
"147438101",2010,"Tudor","Kingston Upon Thames","1","1","Cat","Outdoor","Animal rescue from height",260
"147864101",2010,"Hackney Central","Hackney","1","1","Cat","Outdoor","Animal rescue from below ground",260
"148673101",2010,"East Walworth","Southwark","1","1","Dog","Outdoor","Animal rescue from water",260
"149174101",2010,"Beverley","Kingston Upon Thames","1","1","Bird","Dwelling","Other animal assistance",260
"150566101",2010,"Acton Central","Ealing","1","1","Cat","Outdoor","Animal rescue from height",260
"150741101",2010,"Cockfosters","Enfield","1","1","Cat","Dwelling","Other animal assistance",260
"150842101",2010,"Abbey","Merton","1","1","Cat","Dwelling","Animal rescue from height",260
"151078101",2010,"Norbury & Pollards Hill","Croydon","1","1","Squirrel","Dwelling","Other animal assistance",260
"151656101",2010,"Highbury East","Islington","1","1","Unknown","Outdoor","Animal rescue from height",260
"151960101",2010,"Cathall","Waltham Forest","1","1","Cat","Outdoor","Other animal assistance",260
"152001101",2010,"Waddon","Croydon","1","1","Bird","Dwelling","Animal rescue from height",260
"152182101",2010,"West Barnes","Merton","1","1","Cat","Outdoor Structure","Animal rescue from height",260
"152210101",2010,"Greenford Green","Ealing","1","1","Cat","Non Residential","Other animal assistance",260
"152337101",2010,"Thurlow Park","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"152516101",2010,"Northolt Mandeville","Ealing","2","3","Cat","Outdoor","Animal rescue from height",780
"153370101",2010,"Harlesden","Brent","1","1","Cat","Dwelling","Animal rescue from below ground",260
"153576101",2010,"Heston West","Hounslow","1","2","Horse","Outdoor","Other animal assistance",520
"153798101",2010,"Ferndale","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"155918101",2010,"Plaistow South","Newham","1","1","Dog","Outdoor Structure","Other animal assistance",260
"156017101",2010,"Selsdon And Ballards","Croydon","1","2","Deer","Outdoor","Other animal assistance",520
"156108101",2010,"South Hornchurch","Havering","1","1","Horse","Outdoor","Animal rescue from water",260
"156117101",2010,"Ravenscourt Park","Hammersmith And Fulham","1","1","Cat","Dwelling","Animal rescue from height",260
"156680101",2010,"Hackney Downs","Hackney","1","1","Cat","Outdoor","Animal rescue from height",260
"157014101",2010,"Brunel","Hillingdon","1","1","Bird","Outdoor","Animal rescue from height",260
"157241101",2010,"Herne Hill","Lambeth","1","1","Cat","Outdoor","Other animal assistance",260
"157392101",2010,"Stanley","Kensington And Chelsea","1","1","Cat","Dwelling","Animal rescue from below ground",260
"160182101",2010,"Westbourne","Westminster","1","1","Fox","Dwelling","Animal rescue from below ground",260
"161076101",2010,"Crystal Palace","Bromley","1","1","Dog","Outdoor","Animal rescue from below ground",260
"161146101",2010,"Wallington South","Sutton","1","1","Fox","Outdoor Structure","Other animal assistance",260
"161329101",2010,"Chase","Enfield","1","1","Bird","Dwelling","Animal rescue from height",260
"161330101",2010,"St. Andrew's","Havering","1","1","Cat","Dwelling","Animal rescue from water",260
"161392101",2010,"Clerkenwell","Islington","1","1","Squirrel","Outdoor Structure","Animal rescue from height",260
"161434101",2010,"Green Street West","Newham","1","1","Cat","Dwelling","Other animal assistance",260
"939102",2010,"St. Peter's","Islington","1","1","Cat","Dwelling","Animal rescue from below ground",260
"161827101",2010,"Gooshays","Havering","1","2","Horse","Non Residential","Other animal assistance",520
"161886101",2010,"Willesden Green","Brent","1","1","Cat","Dwelling","Animal rescue from height",260
"162959101",2010,"Chase","Enfield","1","1","Dog","Outdoor","Animal rescue from water",260
"162969101",2010,"Southall Green","Ealing","1","1","Unknown","Dwelling","Animal rescue from height",260
"163121101",2010,"Snaresbrook","Redbridge","1","1","Dog","Outdoor","Animal rescue from water",260
"164149101",2010,"Cann Hall","Waltham Forest","1","1","Cat","Dwelling","Other animal assistance",260
"164185101",2010,"Knight's Hill","Lambeth","1","1","Cat","Dwelling","Animal rescue from height",260
"164237101",2010,"Maida Vale","Westminster","1","1","Cat","Outdoor","Animal rescue from height",260
"164837101",2010,"Higham Hill","Waltham Forest","1","2","Horse","Outdoor","Animal rescue from water",520
"165209101",2010,"Dollis Hill","Brent","1","1","Cat","Dwelling","Animal rescue from below ground",260
"165357101",2010,"Fairfield","Wandsworth","1","1","Dog","Road Vehicle","Other animal assistance",260
"165500101",2010,"Harrow Weald","Harrow","1","3","Cow","Outdoor","Other animal assistance",780
"166316101",2010,"Lea Bridge","Hackney","1","1","Dog","Dwelling","Other animal assistance",260
"166468101",2010,"Oakleigh","Barnet","1","1","Dog","Dwelling","Other animal assistance",260
"166714101",2010,"King's Park","Hackney","1","1","Cat","Outdoor Structure","Animal rescue from height",260
"167163101",2010,"Garden Suburb","Barnet","1","1","Cat","Dwelling","Other animal assistance",260
"167408101",2010,"Lea Bridge","Hackney","1","1","Cat","Dwelling","Other animal assistance",260
"168970101",2010,"South Bermondsey","Southwark","1","1","Cat","Outdoor","Animal rescue from height",260
"170525101",2010,"Crayford","Bexley","1","1","Horse","Outdoor","Other animal assistance",260
"171408101",2010,"Pinner South","Harrow","1","1","Bird","Outdoor Structure","Animal rescue from height",260
"172942101",2010,"Bryanston And Dorset Square","Westminster","1","1","Cat","Dwelling","Animal rescue from below ground",260
"173382101",2010,"Hendon","Barnet","1","1","Bird","Outdoor","Animal rescue from height",260
"173608101",2010,"Chadwell","Redbridge","1","1","Cat","Non Residential","Other animal assistance",260
"173702101",2010,"Northolt Mandeville","Ealing","1","1","Cat","Outdoor","Animal rescue from height",260
"174234101",2010,"East Sheen","Richmond Upon Thames","1","1","Dog","Outdoor","Animal rescue from below ground",260
"174255101",2010,"East Sheen","Richmond Upon Thames","1","1","Dog","Outdoor","Animal rescue from below ground",260
"174599101",2010,"Feltham North","Hounslow","1","1","Dog","Dwelling","Animal rescue from height",260
"174735101",2010,"Canons","Harrow","1","1","Cat","Outdoor","Animal rescue from height",260
"174979101",2010,"Wallington North","Sutton","1","1","Cat","Outdoor","Animal rescue from height",260
"174999101",2010,"Downham","Lewisham","1","1","Cat","Dwelling","Animal rescue from height",260
"175252101",2010,"Custom House","Newham","1","1","Cat","Outdoor","Animal rescue from height",260
"175348101",2010,"Ladywell","Lewisham","1","1","Cat","Outdoor","Animal rescue from height",260
"176054101",2010,"Greenford Green","Ealing","1","1","Cat","Dwelling","Other animal assistance",260
"176610101",2010,"South Richmond","Richmond Upon Thames","1","1","Bird","Dwelling","Animal rescue from height",260
"177051101",2010,"East Barnet","Barnet","1","1","Dog","Outdoor","Animal rescue from water",260
"177056101",2010,"Alibon","Barking And Dagenham","1","1","Cat","Dwelling","Animal rescue from height",260
"177119101",2010,"Garden Suburb","Barnet","1","1","Bird","Dwelling","Animal rescue from height",260
"177212101",2010,"Hatch Lane","Waltham Forest","1","1","Dog","Outdoor","Animal rescue from below ground",260
"177228101",2010,"Woolwich Riverside","Greenwich","1","1","Cat","Dwelling","Animal rescue from height",260
"177767101",2010,"North Bermondsey","Southwark","1","1","Bird","Dwelling","Animal rescue from height",260
"177859101",2010,"Eltham South","Greenwich","1","1","Cat","Dwelling","Other animal assistance",260
"178150101",2010,"Acton Central","Ealing","1","1","Cat","Dwelling","Animal rescue from below ground",260
"178742101",2010,"Kew","Richmond Upon Thames","1","1","Dog","Outdoor","Animal rescue from water",260
"180508101",2010,"Crook Log","Bexley","1","2","Cat","Dwelling","Other animal assistance",520
"180586101",2010,"Forest Gate South","Newham","1","1","Cat","Dwelling","Animal rescue from height",260
"180721101",2010,"Syon","Hounslow","1","1","Bird","Non Residential","Animal rescue from height",260
"181358101",2010,"Queenstown","Wandsworth","1","1","Cat","Dwelling","Animal rescue from below ground",260
"181407101",2010,"Southall Broadway","Ealing","1","1","Cat","Dwelling","Other animal assistance",260
"181727101",2010,"St. Pancras And Somers Town","Camden","1","1","Cat","Dwelling","Animal rescue from below ground",260
"181782101",2010,"St. Peter's","Tower Hamlets","1","1","Fox","Outdoor","Other animal assistance",260
"182228101",2010,"St. Leonard's","Lambeth","1","1","Cat","Outdoor","Animal rescue from height",260
"182984101",2010,"Cranham","Havering","1","3","Horse","Outdoor","Animal rescue from water",780
"183102101",2010,"South Woodford","Redbridge","1","1","Cat","Non Residential","Animal rescue from below ground",260
"183890101",2010,"Greenwich West","Greenwich","1","1","Dog","Outdoor","Animal rescue from below ground",260
"184497101",2010,"King's Park","Hackney","1","1","Cat","Dwelling","Other animal assistance",260
"184650101",2010,"Sutton North","Sutton","1","1","Cat","Outdoor","Animal rescue from height",260
"184731101",2010,"Ealing Common","Ealing","1","1","Cat","Dwelling","Animal rescue from height",260
"185448101",2010,"Wood Street","Waltham Forest","1","1","Cat","Dwelling","Animal rescue from height",260
"186795101",2010,"Wood Street","Waltham Forest","1","1","Cat","Outdoor","Animal rescue from height",260
"187375101",2010,"Heathrow Villages","Hillingdon","1","1","Bird","Non Residential","Animal rescue from height",260
"188198101",2010,"Gospel Oak","Camden","1","2","Cow","Non Residential","Other animal assistance",520
"189072101",2010,"Noel Park","Haringey","1","1","Dog","Dwelling","Animal rescue from below ground",260
"189099101",2010,"Perry Vale","Lewisham","1","1","Cat","Dwelling","Other animal assistance",260
